power_watts,timestamp
261.77,1717419256.6922398
262.25,1717419257.711539
263.27,1717419258.6988065
262.01,1717419259.6965437
264.26,1717419260.686216
262.37,1717419261.7052956
261.74,1717419262.7022712
263.95,1717419263.6992466
265.16,1717419264.704494
264.76,1717419265.6995714
263.82,1717419266.7069125
262.73,1717419267.6993296
262.94,1717419268.6971328
262.62,1717419269.7069507
267.46,1717419270.7049956
266.89,1717419271.7079868
268.87,1717419272.7013795
266.85,1717419273.716428
265.99,1717419274.7027044
264.52,1717419275.7193167
267.03,1717419276.711575
267.89,1717419277.721939
267.09,1717419278.7053142
266.92,1717419279.7600164
270.69,1717419280.7391136
270.03,1717419281.707604
273.78,1717419282.722523
267.18,1717419283.7198172
268.42,1717419284.7296267
266.54,1717419285.7344837
267.36,1717419286.7144258
267.08,1717419287.727744
266.29,1717419288.7200215
269.87,1717419289.7167864
268.4,1717419290.7257466
267.59,1717419291.7369397
269.2,1717419292.721359
266.37,1717419293.7314162
266.13,1717419294.7345374
267.66,1717419295.7294767
268.31,1717419296.741145
269.1,1717419297.738353
267.78,1717419298.739862
266.08,1717419299.743842
260.2,1717419300.7459946
257.38,1717419301.74378
257.01,1717419302.7385898
263.2,1717419303.7414
256.51,1717419304.7347062
262.39,1717419305.7526538
254.61,1717419306.752772
252.24,1717419307.744118
262.34,1717419308.7479134
264.68,1717419309.7527323
267.72,1717419310.7327657
266.22,1717419311.745847
267.17,1717419312.7459838
266.2,1717419313.74944
265.13,1717419314.7583234
266.2,1717419315.7471654
265.9,1717419316.7503388
266.77,1717419317.7500906
266.9,1717419318.7336085
247.76,1717419319.7329953
188.35,1717419320.733897
173.8,1717419321.7348635
119.67,1717419322.7346284
114.91,1717419323.7356167
187.81,1717419324.738078
285.24,1717419325.8139849
319.51,1717419326.7573311
320.78,1717419327.7980485
321.01,1717419328.8183582
324.79,1717419329.8025093
326.51,1717419330.788321
325.5,1717419331.8089557
326.28,1717419332.7889674
323.57,1717419333.8035076
327.67,1717419334.908327
330.55,1717419335.8055089
329.04,1717419336.8983898
331.27,1717419337.8783655
327.71,1717419338.8644774
332.17,1717419339.8584065
325.77,1717419340.8059185
328.31,1717419341.8284085
333.19,1717419342.9102747
328.65,1717419343.848528
329.69,1717419344.9240544
323.16,1717419345.9248736
332.33,1717419346.9285507
326.31,1717419347.8482363
330.35,1717419348.868602
327.21,1717419349.8582556
334.88,1717419350.9503803
331.1,1717419351.8982868
320.17,1717419352.958381
325.69,1717419353.948286
322.95,1717419354.913437
320.37,1717419355.9383478
305.83,1717419356.9475863
280.01,1717419357.9170325
274.27,1717419358.9238386
270.69,1717419359.9226189
264.99,1717419360.9110043
272.48,1717419361.903597
267.96,1717419362.913953
262.46,1717419363.9260843
263.21,1717419364.9268224
260.97,1717419365.9258301
262.59,1717419366.9299989
262.37,1717419367.922144
261.87,1717419368.9272254
263.12,1717419369.931428
267.66,1717419370.9486177
264.62,1717419371.9385633
263.2,1717419372.9401228
263.48,1717419373.9418826
260.74,1717419374.9417372
263.39,1717419375.9376285
265.34,1717419376.9319925
274.41,1717419377.9309955
274.97,1717419378.9462624
263.89,1717419379.941894
263.64,1717419380.9496555
264.81,1717419381.9419916
264.05,1717419382.9526
265.51,1717419383.942562
265.11,1717419384.9458368
265.05,1717419385.9455142
263.77,1717419386.9458659
264.98,1717419387.9552486
264.08,1717419388.9524632
252.71,1717419389.9511042
262.88,1717419390.9532974
265.81,1717419391.9531262
266.32,1717419392.9603908
267.72,1717419393.9432921
263.23,1717419394.9743443
281.9,1717419395.9507928
272.19,1717419396.9482553
282.11,1717419397.956467
277.71,1717419398.966584
268.48,1717419399.969494
269.76,1717419400.9493802
287.5,1717419401.9589448
278.29,1717419402.9603956
278.4,1717419403.9597552
268.99,1717419404.9652643
277.19,1717419405.9805083
294.34,1717419406.9534726
297.68,1717419407.9548683
288.84,1717419408.969543
248.24,1717419409.9521925
232.43,1717419410.953099
206.98,1717419411.9539948
188.96,1717419412.9539843
140.94,1717419413.9547431
115.35,1717419414.9546816
111.67,1717419415.9567735
162.84,1717419416.9589744
275.22,1717419417.981844
315.76,1717419418.9883108
327.48,1717419420.0061107
326.26,1717419420.9839327
329.24,1717419421.97728
326.02,1717419422.9958642
331.5,1717419424.0147896
331.2,1717419425.0208294
336.6,1717419426.0050554
328.49,1717419427.0001678
331.98,1717419428.0089476
336.8,1717419429.0685127
330.56,1717419430.048667
335.9,1717419431.0457582
338.34,1717419432.016862
336.55,1717419433.0168533
324.16,1717419434.012649
289.73,1717419435.012595
276.47,1717419436.0131733
272.75,1717419437.0162513
273.78,1717419438.0143218
273.12,1717419439.0142858
273.25,1717419440.0296052
260.67,1717419441.0128112
271.34,1717419442.0184586
272.36,1717419443.0197623
237.58,1717419444.0226498
265.46,1717419445.0218606
270.19,1717419446.022071
272.6,1717419447.0217397
271.02,1717419448.028369
271.92,1717419449.0273874
271.31,1717419450.0284407
250.17,1717419451.0351937
250.55,1717419452.035413
246.83,1717419453.0638912
279.29,1717419454.0301352
272.61,1717419455.032375
261.19,1717419456.0347254
255.06,1717419457.0396135
257.09,1717419458.0368798
241.52,1717419459.0426981
242.61,1717419460.0443203
240.68,1717419461.0431728
231.68,1717419462.0409007
236.13,1717419463.0333197
215.61,1717419464.0340993
173.84,1717419465.0338168
121.14,1717419466.0348
112.35,1717419467.0358653
144.37,1717419468.037995
238.22,1717419469.0660486
278.82,1717419470.066522
288.43,1717419471.066865
291.93,1717419472.056588
292.73,1717419473.0761657
292.76,1717419474.064327
294.41,1717419475.1013494
291.73,1717419476.1070938
295.85,1717419477.1208882
296.48,1717419478.0883238
294.0,1717419479.1004872
295.25,1717419480.109425
283.39,1717419481.0790582
255.92,1717419482.0830672
249.51,1717419483.08514
246.61,1717419484.0842385
248.34,1717419485.0853257
247.31,1717419486.091099
247.63,1717419487.0911005
251.12,1717419488.086112
248.62,1717419489.0906916
250.04,1717419490.0932882
252.09,1717419491.0922887
253.42,1717419492.094354
249.17,1717419493.092074
250.85,1717419494.0978103
248.24,1717419495.096888
251.07,1717419496.0988615
253.88,1717419497.0992773
250.18,1717419498.100261
248.11,1717419499.0948792
254.63,1717419500.0999992
245.23,1717419501.1809459
250.62,1717419502.1058643
250.91,1717419503.111098
253.2,1717419504.1032252
161.05,1717419505.0989645
132.59,1717419506.0999806
157.11,1717419507.1033947
216.12,1717419508.106696
258.22,1717419509.2711575
272.54,1717419510.1883843
274.81,1717419511.158516
273.44,1717419512.2984312
273.45,1717419513.1684432
278.08,1717419514.1884139
279.28,1717419515.2684283
274.33,1717419516.3083878
278.93,1717419517.3283987
276.21,1717419518.3384886
275.53,1717419519.2495728
274.25,1717419520.2741706
276.13,1717419521.2769263
273.67,1717419522.31843
275.48,1717419523.2483625
276.06,1717419524.2484694
274.75,1717419525.2884376
274.53,1717419526.4083612
269.41,1717419527.3383772
274.88,1717419528.3790925
270.75,1717419529.3483374
271.41,1717419530.458431
272.25,1717419531.3830705
271.89,1717419532.38897
273.36,1717419533.4197795
272.48,1717419534.3183901
270.11,1717419535.426527
270.15,1717419536.448384
271.67,1717419537.458393
270.94,1717419538.478472
272.08,1717419539.4785113
272.61,1717419540.4985545
273.88,1717419541.5083635
279.03,1717419542.5084047
273.78,1717419543.508431
272.43,1717419544.3784294
272.2,1717419545.518441
271.78,1717419546.4261117
272.98,1717419547.528494
276.44,1717419548.4583714
276.42,1717419549.5384364
275.39,1717419550.5084434
273.68,1717419551.4184139
276.11,1717419552.5484478
274.03,1717419553.448427
275.04,1717419554.6183765
273.92,1717419555.5483818
276.68,1717419556.51087
274.09,1717419557.4584353
275.78,1717419558.4884434
274.96,1717419559.6083977
274.86,1717419560.6384425
272.67,1717419561.568368
277.89,1717419562.600848
276.7,1717419563.4984376
277.87,1717419564.6684058
277.74,1717419565.5884433
273.4,1717419566.6783845
268.68,1717419567.6185122
270.51,1717419568.6105967
272.13,1717419569.518499
273.73,1717419570.678414
273.91,1717419571.6684818
280.73,1717419572.7084005
283.33,1717419573.6983821
282.32,1717419574.6583612
272.48,1717419575.602126
269.98,1717419576.6853285
271.33,1717419577.608445
275.19,1717419578.7483246
280.18,1717419579.726291
283.38,1717419580.6384428
282.54,1717419581.638498
281.09,1717419582.638434
282.55,1717419583.6683984
281.87,1717419584.7784517
281.67,1717419585.7984228
283.75,1717419586.7483675
283.51,1717419587.6883366
277.37,1717419588.7683835
277.01,1717419589.698435
277.48,1717419590.6784136
280.49,1717419591.7284038
280.29,1717419592.8484101
280.41,1717419593.7784655
278.78,1717419594.8284037
279.34,1717419595.8284476
278.49,1717419596.8285103
281.29,1717419597.8884168
285.26,1717419598.8684266
279.31,1717419599.783889
272.44,1717419600.7746894
273.75,1717419601.8784108
279.01,1717419602.808448
277.41,1717419603.9012513
274.49,1717419604.8871257
276.8,1717419605.7784111
277.69,1717419606.9484098
278.76,1717419607.898379
281.58,1717419608.7783725
284.78,1717419609.8283968
281.81,1717419610.7789187
277.93,1717419611.848299
276.35,1717419612.9833927
279.14,1717419613.928485
279.37,1717419614.8683994
279.52,1717419615.8683999
283.1,1717419617.0184128
281.01,1717419617.8683565
285.39,1717419618.9391558
284.48,1717419620.038339
279.15,1717419620.8989913
276.78,1717419621.9284303
276.11,1717419623.0584621
279.2,1717419623.928439
281.18,1717419624.9883761
282.22,1717419625.9584117
284.74,1717419626.938339
283.21,1717419628.048424
277.24,1717419629.069015
275.61,1717419629.9883895
280.5,1717419630.9983974
277.99,1717419632.0183666
283.64,1717419633.1384187
283.7,1717419634.1483421
287.2,1717419635.0284638
282.45,1717419636.016226
277.89,1717419637.138364
276.65,1717419638.1783216
277.34,1717419639.119106
277.62,1717419640.198323
282.39,1717419641.0791323
286.0,1717419642.1884363
289.32,1717419643.088339
283.65,1717419644.1040142
276.45,1717419645.2383988
278.74,1717419646.218436
285.91,1717419647.168371
288.25,1717419648.0984259
292.26,1717419649.2183902
287.64,1717419650.2383726
284.95,1717419651.1587698
278.98,1717419652.2084093
277.7,1717419653.2683768
283.11,1717419654.1484227
286.87,1717419655.2584085
290.21,1717419656.3083708
286.39,1717419657.2783973
286.89,1717419658.1983767
279.92,1717419659.1484525
278.77,1717419660.3483644
281.95,1717419661.3283997
285.08,1717419662.338442
289.59,1717419663.328411
284.34,1717419664.2283564
288.51,1717419665.3683467
283.98,1717419666.3483753
278.77,1717419667.2183816
275.48,1717419668.2585084
274.79,1717419669.3683674
280.49,1717419670.40844
283.59,1717419671.2884264
284.48,1717419672.2883527
287.02,1717419673.3905537
287.84,1717419674.388411
281.2,1717419675.3083725
273.9,1717419676.3883166
277.1,1717419677.2984474
280.28,1717419678.4883835
286.07,1717419679.3384087
287.69,1717419680.3629324
285.75,1717419681.3283126
284.13,1717419682.378355
276.19,1717419683.428391
282.76,1717419684.4784987
284.61,1717419685.4683943
289.09,1717419686.3783667
283.7,1717419687.5082839
277.05,1717419688.378362
278.07,1717419689.3984723
276.67,1717419690.508341
282.02,1717419691.5284283
286.6,1717419692.4584095
286.12,1717419693.5183613
277.65,1717419694.588327
277.68,1717419695.4183438
279.12,1717419696.5784807
284.96,1717419697.468366
290.2,1717419698.5283864
292.66,1717419699.5883687
285.21,1717419700.598419
279.37,1717419701.5890548
276.19,1717419702.5083492
280.82,1717419703.538455
282.1,1717419704.5384152
292.06,1717419705.6584756
293.42,1717419706.5583835
285.59,1717419707.648351
279.74,1717419708.6389172
275.86,1717419709.5685072
284.73,1717419710.6884649
285.69,1717419711.6483893
289.58,1717419712.73838
291.3,1717419713.668345
289.76,1717419714.7784083
287.9,1717419715.6983502
286.8,1717419716.6285365
287.89,1717419717.6484363
286.31,1717419718.6389184
289.16,1717419719.698372
283.97,1717419720.8083668
286.59,1717419721.8084354
290.87,1717419722.838389
290.69,1717419723.6782875
281.68,1717419724.6690557
280.6,1717419725.8291755
282.77,1717419726.7183962
290.71,1717419727.8191237
294.0,1717419728.8684342
288.76,1717419729.8783145
279.46,1717419730.8183374
277.76,1717419731.8283813
281.64,1717419732.7767477
288.03,1717419733.928421
292.59,1717419734.8584177
288.56,1717419735.8683386
278.57,1717419736.7883
271.61,1717419737.888353
284.71,1717419738.9383552
289.21,1717419739.9584746
295.12,1717419740.838313
286.38,1717419741.7893114
277.43,1717419742.9683483
273.98,1717419743.9683955
282.23,1717419744.913214
290.8,1717419745.988408
289.29,1717419747.018398
284.62,1717419747.9383576
278.49,1717419749.0189452
276.98,1717419750.0383887
282.22,1717419750.988442
287.28,1717419751.9184074
292.35,1717419752.9883747
289.66,1717419754.0784047
278.19,1717419754.9283533
282.35,1717419755.948367
288.55,1717419757.0190494
284.32,1717419757.928836
286.0,1717419758.9483843
286.4,1717419760.0183465
287.98,1717419761.1083505
288.17,1717419762.128418
283.09,1717419763.0483534
282.18,1717419764.0285375
277.18,1717419765.0284593
286.71,1717419766.0283527
288.86,1717419767.0783958
284.01,1717419768.0384457
283.63,1717419769.1684282
288.77,1717419770.0583794
290.08,1717419771.198358
286.68,1717419772.1583807
280.01,1717419773.108425
282.75,1717419774.2342987
285.83,1717419775.108356
290.36,1717419776.1983135
281.67,1717419777.1398177
279.84,1717419778.1183953
282.52,1717419779.158365
290.31,1717419780.288366
288.51,1717419781.2982674
281.73,1717419782.2483425
284.08,1717419783.2984414
289.78,1717419784.3069918
289.87,1717419785.3285258
283.29,1717419786.1783688
284.16,1717419787.288385
288.03,1717419788.1684551
284.28,1717419789.1583462
280.2,1717419790.1850927
279.97,1717419791.1683257
280.86,1717419792.1983912
281.02,1717419793.1836762
278.33,1717419794.1636825
277.88,1717419795.291591
281.17,1717419796.1823747
278.11,1717419797.1658041
284.84,1717419798.1796196
289.8,1717419799.1898444
285.05,1717419800.1784003
284.74,1717419801.218626
288.9,1717419802.185562
278.8,1717419803.1915436
276.17,1717419804.2087905
273.75,1717419805.259619
289.93,1717419806.167168
286.46,1717419807.2025862
284.34,1717419808.1923454
288.84,1717419809.1825097
290.11,1717419810.2024827
285.03,1717419811.1752322
285.1,1717419812.202444
284.17,1717419813.210649
281.89,1717419814.2192237
285.43,1717419815.1983085
279.72,1717419816.2060728
273.56,1717419817.214151
270.12,1717419818.2277832
268.51,1717419819.1965845
268.93,1717419820.222621
275.07,1717419821.2241375
278.89,1717419822.1949909
274.77,1717419823.2047114
269.51,1717419824.20179
272.15,1717419825.216691
278.83,1717419826.2214696
284.17,1717419827.217867
282.83,1717419828.217751
286.08,1717419829.2045298
288.96,1717419830.218434
287.81,1717419831.2284744
288.42,1717419832.2241476
289.39,1717419833.1924703
292.44,1717419834.218505
288.9,1717419835.2114272
290.27,1717419836.2296994
289.09,1717419837.2312171
284.74,1717419838.2403991
283.41,1717419839.228877
284.24,1717419840.2263787
286.1,1717419841.2186608
291.14,1717419842.2370205
292.67,1717419843.232252
287.99,1717419844.2383578
290.22,1717419845.2303157
287.94,1717419846.2337537
284.15,1717419847.2455037
282.58,1717419848.241029
280.97,1717419849.221243
284.86,1717419850.2592785
284.38,1717419851.2413135
284.81,1717419852.2483704
287.37,1717419853.2440388
287.36,1717419854.244402
281.9,1717419855.250343
282.84,1717419856.253208
285.62,1717419857.2542655
289.45,1717419858.2424195
289.53,1717419859.2454753
291.43,1717419860.2422314
289.81,1717419861.2416253
292.83,1717419862.2536995
288.92,1717419863.2395213
289.56,1717419864.2584023
288.53,1717419865.2638118
287.23,1717419866.2451465
287.63,1717419867.263062
283.52,1717419868.2537303
283.68,1717419869.2521133
280.41,1717419870.2715867
277.06,1717419871.2407708
276.51,1717419872.2969174
280.0,1717419873.2739182
278.83,1717419874.2584906
281.28,1717419875.2651541
280.22,1717419876.269752
277.85,1717419877.2790842
281.55,1717419878.2396162
282.94,1717419879.2868168
281.37,1717419880.2524269
276.91,1717419881.273028
280.61,1717419882.2672148
279.17,1717419883.2431917
